#####################################################################
# Alchemist log file - simulation started at: 2019-09-11T14:41+0000 #
#####################################################################
# 
#
# The columns have the following meaning: 
# time TetR[Mean] LacI[Mean] AcI[Mean] 
658.5320805966585 100.0 89.0 98.0 
660.03716342253 94.0 83.0 100.0 
661.5190256976941 101.0 75.0 104.0 
663.0141996789082 104.0 80.0 110.0 
664.5405060652115 109.0 81.0 101.0 
666.0647588440177 109.0 77.0 100.0 
667.5006164840045 105.0 75.0 104.0 
669.0129553242467 106.0 76.0 112.0 
670.5115221989208 108.0 78.0 108.0 
672.0177019635846 97.0 80.0 107.0 
673.5002579026219 92.0 77.0 101.0 
675.0078737065957 84.0 82.0 98.0 
676.5416523721096 72.0 80.0 105.0 
678.0100211009177 69.0 86.0 113.0 
679.5436173900428 69.0 88.0 111.0 
681.0390557560728 76.0 91.0 119.0 
682.5081665108817 77.0 93.0 119.0 
684.0239100252508 81.0 102.0 116.0 
685.5031695608174 82.0 101.0 123.0 
687.0057857918847 83.0 103.0 126.0 
688.5337315691473 82.0 105.0 124.0 
690.0451721647901 94.0 105.0 116.0 
691.5114426181132 95.0 102.0 110.0 
693.0147801386913 95.0 98.0 106.0 
694.5100574908859 93.0 94.0 91.0 
696.0097863920297 87.0 81.0 99.0 
697.5061304427653 92.0 89.0 101.0 
699.0268200557496 89.0 94.0 95.0 
700.5067220671672 92.0 93.0 101.0 
702.0035646362479 101.0 97.0 100.0 
703.5042090964391 104.0 98.0 101.0 
705.0157660724818 103.0 99.0 87.0 
706.5101130738218 104.0 93.0 79.0 
708.0202791825183 106.0 86.0 84.0 
709.5475912192414 107.0 97.0 86.0 
711.0166159972277 104.0 97.0 84.0 
712.5009868344343 107.0 101.0 79.0 
714.0109294257273 107.0 105.0 83.0 
715.5116848023548 105.0 101.0 84.0 
717.0035936207519 105.0 112.0 87.0 
718.5053418301275 99.0 109.0 83.0 
720.0131222421421 100.0 102.0 82.0 
721.5601140379538 97.0 107.0 76.0 
723.0100098507424 89.0 108.0 81.0 
724.5226570861863 88.0 112.0 82.0 
726.008926667049 81.0 111.0 99.0 
727.5086010667716 78.0 112.0 102.0 
729.0017122036743 78.0 105.0 109.0 
730.5326657173789 77.0 103.0 120.0 
732.0133638104319 79.0 101.0 109.0 
733.5040400653885 74.0 99.0 106.0 
735.0021343768404 82.0 97.0 107.0 
736.5006007569947 86.0 94.0 110.0 
738.0099391342812 87.0 97.0 113.0 
739.5055832312821 100.0 102.0 114.0 
741.01571827408 98.0 103.0 117.0 
742.513768135701 97.0 99.0 106.0 
744.0130500576112 90.0 104.0 93.0 
745.5299766364839 93.0 100.0 90.0 
747.0180549780514 100.0 96.0 91.0 
748.524887430273 98.0 101.0 95.0 
750.0184928105419 98.0 96.0 89.0 
751.5691783013187 93.0 91.0 85.0 
753.0031144614994 93.0 92.0 91.0 
754.6246304391731 89.0 94.0 94.0 
756.0153475927372 89.0 92.0 97.0 
757.5148707891547 102.0 96.0 92.0 
759.0006926903944 93.0 105.0 87.0 
760.504918125864 93.0 109.0 94.0 
762.0024490152233 95.0 108.0 100.0 
763.5168396751249 104.0 100.0 106.0 
765.0170748497989 106.0 102.0 106.0 
766.5179130220554 107.0 102.0 114.0 
768.0273466090867 101.0 98.0 116.0 
769.5199154677084 108.0 104.0 121.0 
771.0058153862634 112.0 97.0 117.0 
772.5143660280056 112.0 100.0 118.0 
774.0394224127849 111.0 99.0 110.0 
775.5189600133725 97.0 100.0 102.0 
777.0220376706569 92.0 102.0 103.0 
778.5059723126267 91.0 98.0 96.0 
780.0386706435503 94.0 103.0 97.0 
781.5009337058159 93.0 105.0 104.0 
783.0052719725846 95.0 107.0 105.0 
784.5040638580704 98.0 103.0 107.0 
786.0243449919158 98.0 104.0 113.0 
787.5019689803883 98.0 103.0 112.0 
789.0447987165528 93.0 109.0 117.0 
790.5127207074405 95.0 108.0 115.0 
792.0164255643967 96.0 119.0 127.0 
793.5514387229488 110.0 112.0 122.0 
795.0016065020221 110.0 120.0 124.0 
796.5826213934586 106.0 103.0 121.0 
798.0071286704341 100.0 111.0 124.0 
799.52103729939 96.0 119.0 120.0 
801.0012372623002 93.0 123.0 127.0 
802.5285799699649 93.0 115.0 117.0 
804.0023234899057 100.0 116.0 117.0 
805.5042299532403 107.0 115.0 123.0 
807.0040231050846 101.0 115.0 114.0 
808.5183520696678 94.0 113.0 109.0 
810.0060953066028 97.0 110.0 108.0 
811.5266203225721 99.0 105.0 118.0 
813.0135137561981 99.0 106.0 117.0 
814.5114868521786 101.0 107.0 106.0 
816.00490281482 89.0 100.0 103.0 
817.5129550887625 87.0 90.0 99.0 
819.0170836371868 94.0 91.0 103.0 
820.5921457645192 102.0 99.0 103.0 
822.0022654098175 101.0 105.0 111.0 
823.5133333232184 93.0 106.0 111.0 
825.0038201652699 92.0 109.0 107.0 
826.5223695395019 88.0 106.0 97.0 
